mean =    160.0, width =    160.0, lognormal, with 500000 sections - arithmetic spacing
     Dj        Na      Nv_orig
2.5000E+01 2.5468E+00 9.2382E-02
5.0000E+01 6.0868E+00 1.4781E-01
7.5000E+01 7.3422E+00 1.4111E-01
1.0000E+02 7.3188E+00 1.1825E-01
1.2500E+02 6.7541E+00 9.4961E-02
1.5000E+02 6.0431E+00 7.5259E-02
1.7500E+02 5.3027E+00 5.9556E-02
2.0000E+02 4.6074E+00 4.7299E-02
2.2500E+02 3.9967E+00 3.7784E-02
2.5000E+02 3.4626E+00 3.0387E-02
2.7500E+02 3.0033E+00 2.4610E-02
3.0000E+02 2.6104E+00 2.0069E-02
3.2500E+02 2.2670E+00 1.6476E-02
3.5000E+02 1.9789E+00 1.3613E-02
3.7500E+02 1.7330E+00 1.1316E-02
4.0000E+02 1.5178E+00 9.4599E-03
4.2500E+02 1.3384E+00 7.9513E-03
4.5000E+02 1.1787E+00 6.7172E-03
4.7500E+02 1.0417E+00 5.7019E-03
5.0000E+02 9.2420E-01 4.8620E-03
5.2500E+02 8.2007E-01 4.1634E-03
5.5000E+02 7.2972E-01 3.5796E-03
5.7500E+02 6.5415E-01 3.0894E-03
6.0000E+02 5.8438E-01 2.6759E-03
6.2500E+02 5.2366E-01 2.3256E-03
6.5000E+02 4.7229E-01 2.0278E-03
6.7500E+02 4.2414E-01 1.7736E-03
7.0000E+02 3.8294E-01 1.5558E-03
7.2500E+02 3.4715E-01 1.3685E-03
7.5000E+02 3.1416E-01 1.2070E-03
7.7500E+02 2.8434E-01 1.0673E-03
8.0000E+02 2.5842E-01 9.4599E-04
8.2500E+02 2.3533E-01 8.4045E-04
8.5000E+02 2.1448E-01 7.4835E-04
8.7500E+02 1.9644E-01 6.6777E-04
9.0000E+02 1.7855E-01 5.9709E-04
9.2500E+02 1.6327E-01 5.3494E-04
9.5000E+02 1.4955E-01 4.8016E-04
9.7500E+02 1.3751E-01 4.3178E-04
1.0000E+03 1.2600E-01 3.8896E-04
1.0250E+03 1.1597E-01 3.5097E-04
1.0500E+03 1.0675E-01 3.1721E-04
1.0750E+03 9.8365E-02 2.8715E-04
1.1000E+03 9.0610E-02 2.6033E-04
1.1250E+03 8.3478E-02 2.3637E-04
1.1500E+03 7.7237E-02 2.1491E-04
1.1750E+03 7.1210E-02 1.9567E-04
1.2000E+03 6.5859E-02 1.7839E-04
1.2250E+03 6.1215E-02 1.6285E-04
1.2500E+03 5.6629E-02 1.4884E-04
1.2750E+03 5.2355E-02 1.3621E-04
1.3000E+03 4.8592E-02 1.2479E-04
1.3250E+03 4.4951E-02 1.1446E-04
1.3500E+03 4.1776E-02 1.0510E-04
1.3750E+03 3.8716E-02 9.6611E-05
1.4000E+03 3.6049E-02 8.8900E-05
1.4250E+03 3.3498E-02 8.1888E-05
1.4500E+03 3.1011E-02 7.5503E-05
1.4750E+03 2.8862E-02 6.9684E-05
1.5000E+03 2.6750E-02 6.4373E-05
1.5250E+03 2.4860E-02 5.9521E-05
1.5500E+03 2.3005E-02 5.5084E-05
1.5750E+03 2.1324E-02 5.1022E-05
1.6000E+03 1.9788E-02 4.7299E-05
1.6250E+03 1.8296E-02 4.3885E-05
1.6500E+03 1.6887E-02 4.0749E-05
1.6750E+03 1.5594E-02 3.7867E-05
1.7000E+03 1.4400E-02 3.5217E-05
1.7250E+03 1.3197E-02 3.2776E-05
1.7500E+03 1.2112E-02 3.0527E-05
1.7750E+03 1.1071E-02 2.8452E-05
1.8000E+03 1.0110E-02 2.6537E-05
1.8250E+03 9.1539E-03 2.4768E-05
1.8500E+03 8.2088E-03 2.3132E-05
1.8750E+03 7.2863E-03 2.1619E-05
1.9000E+03 6.4177E-03 2.0217E-05
1.9250E+03 5.5026E-03 1.8919E-05
1.9500E+03 4.6076E-03 1.7714E-05
1.9750E+03 3.6059E-03 1.6596E-05
2.0000E+03 2.4526E-03 1.5558E-05
