mean =    160.0, width =    160.0, lognormal, with 500000 sections - geometric  spacing
     Dj        Na    
2.5000E+01 7.9510E-04
2.8750E+01 9.6422E-04
3.3062E+01 1.1968E-03
3.8022E+01 1.4789E-03
4.3725E+01 1.8316E-03
5.0284E+01 2.2310E-03
5.7827E+01 2.6832E-03
6.6500E+01 3.1873E-03
7.6476E+01 3.7002E-03
8.7947E+01 4.2294E-03
1.0114E+02 4.7303E-03
1.1631E+02 5.2015E-03
1.3376E+02 5.5534E-03
1.5382E+02 5.8206E-03
1.7689E+02 5.9509E-03
2.0343E+02 5.9200E-03
2.3394E+02 5.7599E-03
2.6903E+02 5.4722E-03
3.0939E+02 5.0520E-03
3.5579E+02 4.5556E-03
4.0916E+02 3.9976E-03
4.7054E+02 3.4157E-03
5.4112E+02 2.8387E-03
6.2229E+02 2.3068E-03
7.1563E+02 1.8128E-03
8.2297E+02 1.3964E-03
9.4642E+02 1.0426E-03
1.0884E+03 7.6057E-04
1.2516E+03 5.3726E-04
1.4394E+03 3.6991E-04
1.6553E+03 2.4774E-04
1.9036E+03 1.6213E-04
2.1891E+03 1.0258E-04
2.5175E+03 6.3127E-05
2.8951E+03 3.7994E-05
3.3294E+03 2.2185E-05
3.8288E+03 1.2619E-05
4.4031E+03 6.9515E-06
5.0636E+03 3.7308E-06
5.8231E+03 1.9499E-06
6.6966E+03 9.9243E-07
7.7011E+03 4.8971E-07
8.8562E+03 2.3589E-07
1.0185E+04 1.0999E-07
1.1712E+04 5.0165E-08
1.3469E+04 2.2136E-08
1.5490E+04 9.5100E-09
1.7813E+04 3.9799E-09
2.0485E+04 1.6186E-09
2.3558E+04 6.3946E-10
2.7091E+04 2.4626E-10
3.1155E+04 9.2019E-11
3.5828E+04 3.3402E-11
4.1203E+04 1.1826E-11
4.7383E+04 4.0576E-12
5.4490E+04 1.3580E-12
6.2664E+04 4.4152E-13
7.2064E+04 1.3952E-13
8.2873E+04 4.2840E-14
9.5304E+04 1.2815E-14
1.0960E+05 3.7246E-15
1.2604E+05 1.0491E-15
1.4495E+05 2.8881E-16
1.6669E+05 7.7111E-17
1.9169E+05 1.9995E-17
2.2044E+05 5.0490E-18
2.5351E+05 1.2383E-18
2.9154E+05 2.9658E-19
3.3527E+05 6.8778E-20
3.8556E+05 1.5490E-20
4.4339E+05 3.4062E-21
5.0990E+05 7.2470E-22
5.8639E+05 1.5059E-22
6.7434E+05 3.0374E-23
7.7550E+05 5.9502E-24
8.9182E+05 1.1373E-24
1.0256E+06 2.1025E-25
1.1794E+06 3.7924E-26
1.3563E+06 6.6035E-27
1.5598E+06 1.0667E-27
